//Main Game Level 1
S,4096,320,160,32
S,4096,0,320,32
S,0,0,96,96
S,96,0,96,96
S,192,0,96,96
S,288,0,96,96
S,384,0,96,96
S,480,0,96,96
S,576,0,96,96
S,672,0,96,96
S,768,0,96,96
S,0,288,96,96
S,0,384,96,96
S,96,288,96,96
S,96,384,96,96
S,192,288,96,96
S,192,384,96,96
S,288,384,96,96
S,288,288,96,96
S,384,288,96,96
S,384,384,96,96
S,480,384,96,96
S,480,288,96,96
S,576,288,96,96
S,576,384,96,96
S,672,384,96,96
S,672,288,96,96
S,768,288,96,96
S,768,384,96,96
S,864,288,96,96
S,864,384,96,96
S,864,0,96,96
S,864,192,96,96
S,960,0,96,96
S,1056,0,96,96
S,1056,96,96,96
S,960,288,96,96
S,960,384,96,96
S,1056,384,96,96
S,1056,288,96,96
S,1152,288,96,96
S,1152,384,96,96
S,1152,96,96,96
S,1152,0,96,96
S,1248,0,96,96
S,1248,384,96,96
S,1344,384,96,96
S,1344,0,96,96
S,1440,0,96,96
S,1440,384,96,96
S,1536,384,96,96
S,4096,0,0,32
S,1536,0,96,96
S,1632,0,96,96
S,1632,384,96,96
S,1632,288,96,96
S,1632,96,96,96
S,1728,96,96,96
S,1728,0,96,96
S,1728,288,96,96
S,1728,384,96,96
S,1824,384,96,96
S,1824,288,96,96
S,1824,0,96,96
S,1920,0,96,96
S,1920,288,96,96
S,1920,384,96,96
S,2016,384,96,96
S,2112,384,96,96
S,2112,288,96,96
S,2112,192,96,96
S,2016,0,96,96
S,2112,0,96,96
S,2208,0,96,96
S,2208,192,96,96
S,2208,288,96,96
S,2208,384,96,96
S,2304,384,96,96
S,2304,288,96,96
S,2304,192,96,96
S,2304,0,96,96
S,2400,0,96,96
S,2496,0,96,96
S,2496,96,96,96
S,2496,192,96,96
S,2400,416,64,96
S,2496,416,64,96
S,2592,416,64,96
S,2688,384,96,96
S,2688,288,96,96
S,2688,192,96,96
S,2592,32,64,96
S,2688,32,64,96
S,2592,0,32,96
S,2688,0,32,96
S,2784,0,96,96
S,2880,0,96,96
S,2880,96,96,96
S,2880,192,96,96
S,2784,384,96,96
S,2880,384,96,96
S,2976,384,96,96
S,3072,384,96,96
S,3072,288,96,96
S,3072,192,96,96
S,2976,0,96,96
S,3072,0,96,96
S,3168,0,96,96
S,3264,0,96,96
S,3264,96,96,96
S,3264,192,96,96
S,3168,384,96,96
S,3264,384,96,96
S,3360,384,96,96
S,3456,384,96,96
S,3456,288,96,96
S,3360,96,96,96
S,3360,0,96,96
S,3456,0,96,96
S,3552,192,96,96
S,3552,288,96,96
S,3552,384,96,96
S,3648,384,96,96
S,3648,288,96,96
S,3648,192,96,96
S,3552,0,96,96
S,3648,0,96,96
S,3744,0,96,96
S,3840,0,96,96
S,3840,96,96,96
S,3840,192,96,96
S,3840,288,96,96
S,3744,448,32,96
S,3840,448,32,96
S,3936,448,32,96
S,4032,384,96,32
S,4064,384,96,32
S,4064,288,96,32
S,4032,288,96,32
S,4032,192,96,32
S,4064,192,96,32
S,3936,0,96,32
S,4000,0,96,32
S,3968,0,96,32
S,4032,0,96,32
S,4064,0,96,32
